5.000000e+00	-1.187619e-08	2.890630e-03	-1.560001e-01	-4.358248e-02	-5.436368e-01
1.000000e+01	6.373097e-07	1.679991e-02	-1.559969e-01	1.836823e-02	2.627588e-01
1.100000e+01	5.671222e-07	4.798479e-03	-1.559999e-01	9.661835e-03	1.075609e-01
1.200000e+01	4.176717e-06	6.048130e-04	-1.559975e-01	6.613131e-03	7.107254e-02
1.300000e+01	-4.600343e-05	-1.393868e-03	-1.560276e-01	4.384979e-03	6.266379e-02
1.400000e+01	3.726934e-07	-2.084868e-03	-1.559996e-01	2.492863e-03	5.877453e-02
1.500000e+01	9.858265e-06	-2.023586e-03	-1.560335e-01	1.038079e-03	5.354156e-02
1.600000e+01	1.285490e-05	-1.557148e-03	-1.559944e-01	1.433648e-04	4.854666e-02
1.700000e+01	7.091808e-06	-1.024390e-03	-1.559845e-01	-3.130933e-04	4.525842e-02
1.800000e+01	5.322483e-06	-5.657689e-04	-1.559851e-01	-4.689816e-04	4.385470e-02
1.900000e+01	2.164999e-06	-2.362553e-04	-1.559921e-01	-4.503312e-04	4.379038e-02
2.000000e+01	-2.178838e-06	-3.573498e-05	-1.560046e-01	-3.531257e-04	4.438485e-02
2.100000e+01	-5.689494e-06	6.323349e-05	-1.560173e-01	-2.379612e-04	4.514638e-02
